English,العربية,Português,Cymraeg,中文(简体),中文（繁體）,Melayu,日本語,සිංහල,
Play,العب,Jogue,Chwarae,进入游戏,進入遊戲,Main,プレー,සෙල්ලම් කරන්න,
Change Language,تغير اللغة,Idioma,Newid Iaith,更换语言,更換語言,Menukar Bahasa,言語の変更,භාෂාව වෙනස් කරන්න,
Start,ابدء,Comece,Dechrau,开始,開始,Bermula,スタート,පටන් ගන්න,
Exit,خروج,Saída,Allanfa,退出,退出,Berhenti,止める,ඉවත් වන්න,
New Game,لعبة جديدة,Novo Jogo,Gêm Newydd,新局,新局,Permainan Baru,新しいゲーム,අලුත් සෙල්ලමක්,
Leaderboard,لوحة الدرجات,Placar,Bwrdd Sgorio,排行榜,排行榜,Papan Pendahuluan,リーダーボード,ලකුණු පුවරුව,
New Profile,الملف الشخصي الجديد,Novo Perfil,WELSH,新户口,新戶口,Profil Baru,新しいプロファイル,අලුත් සහභාගිවන්නන්ගේ විස්තර,
Load Game,حمل اللعبة,Carregue Jogo,Gêm Llwyth,加载游戏,加載遊戲,Muatkan Permainan,ロードゲーム,සෙල්ලම Load කරන්න,
Name,اسم,Nome,Enw,玩家ID,玩家ID,Nama Pemain,名前,නම,
Play Now!,العب الان,Nova Rodada,WELSH,开始游戏！,開始遊戲！,Bermulakan!,ゲームスタート,දැන් සෙල්ලම් කරන්න,
get a tile from the tile bag.,احصل على بلاط من كيس البلاط,Coleta a telha.,WELSH,请从方块包中领取方块,請從方塊包中領取方塊,dapatkan jubin dari beg jubin,タイルバッグからタイルを取得します,ටයිල් බෑග් එකෙන් ටයිල් එකක් ගන්න.,
insert the tile into a row or column where there are no fixed tiles.,أدخل البلاط في صف أو عمود حيث لا توجد بلاطات ثابتة,Insere a telha na linha ou a coluna que não contenha uma telha fixa,WELSH,若发现无固定方块请随意置放方块,若發現無固定方塊請隨意置放方塊,Letak jubin di tempatan yang tiada jubin tetap,行または列に タイルを挿入します -固定タイルがない,ස්ථාවර උළු නොමැති පේළියකට හෝ තීරුවකට ටයිල් ඇතුල් කරන්න.,
you may now play an effect tile if you have any.,يمكنك الآن لعب بلاطة تأثير إذا كان لديك أي منها,Pode colocar uma telha com poder especial se a tiver,WELSH,若手中持有幻影方块 玩家现可使用,若玩家手上有任何幻影方塊 可選擇使用,Sila memainkan jubin phantom jika ada,エフェクトタイルがある場合は、それをプレイできるように なりました。,Effect ටයිල් තිබේනම්,ඔබට දැන් එය සෙල්ලම් කල හැක.
choose a player to cast this effect on.,اختر لاعبًا لإضفاء هذا التأثير عليه,Selecione um jogador para afetá-lo,WELSH,请选择一名玩家来使用此幻影,請選擇一名玩家來使用此幻影,Pilih satu pemain untuk menggunakan phantom ini,この効果をキャストするプレーヤーを選択してください,මෙම බලපෑම ක්‍රියාත්මක කිරීමට ක්‍රීඩකයෙකු තෝරන්න,
choose a board square to cast this effect on.,اختر مربعًا للوحة لإضفاء هذا التأثير عليه,Selecione um quadadro para afeitar,WELSH,请选择方块板中的一处使用该幻影,請選擇板中的任何一處使用該幻影,Pilih kotak papan untuk menggunakan phantom ini,この効果をキャストするボードスクエアを選択してください,මෙම බලපෑම ක්‍රියාත්මක කිරීමට කොටුවක්  තෝරන්න.,
move your player to a free space on the board.,انقل المشغل إلى مساحة خالية على اللوحة,Selecione um quadrado valido para mover o peão,WELSH,请移步到方块板中空旷的一处,請移步到板中空白處,Pindahkan pemain anda ke ruang kosong di papan,プレーヤーをボード上の空白スペースに移動します,ඔබගේ ක්‍රීඩකයා පුවරුවේ නිදහස් ඉඩකට ගෙන යන්න.,
your player cannot move and therefore you skip this turn.,لا يستطيع لاعبك التحرك وبالتالي تخطي هذا المنعطف,Não existe um quadrado valido para mover a rodada acabou-se,WELSH,玩家无法移动 请等到下一局,玩家無法移動 請等到下一局,Pemain anda tak boleh bergerak dan akan melewatkan giliran ini,あなたのプレーヤーは 移動できないため、このターンをスキップします,ඔබේ ක්‍රීඩකයාට ගමන් කළ නොහැකි අතර එබැවින් ඔබ මෙම වාරය මඟ හරින්න.,
congratulations,تهانينا,Felicitações,WELSH,恭喜!,恭喜!,Tahniah,おめでとうございます,සුභ පැතුම්,
you have won the game!,لقد فزت باللعبة,Você ganhou,WELSH,你已经取得了胜利!,該玩家取得了勝利!,Anda telah memenangi permainan ini!,あなたはゲームに勝ちました,ඔබ සෙල්ලම දිනුවා! නියමයි!,
Draw Card,خذ البطاقة,Saque a Carta,WELSH,请选择一张卡,請選擇一張卡,Sila pilih kad,カードを取る,Card එකක් තෝරාගන්න,
Up,فوق,Acima,WELSH,上,上,Atas,上,ඉහළට,
Right,يمين,Direita,WELSH,右,右,Kanan,右,දකුණට,
Down,أسفل,Em baixo,WELSH,下,下,Bawah,下,පහළට,
Left,يسار,Esquerda,WELSH,左,左,Kiri,左,වමට,
Back,عودة,Voltar,WELSH,上一页,上一頁,Halaman Sebelumnya,後ろ,ආපසු යන්න,
Save Profile,احفظ الملف,Confirme,WELSH,储存玩家户口,儲存玩家戶口,Simpan Profil,プロファイルを保存,සහභාගිවන්නන්ගේ විස්තර ගබඩා කරන්න(Save Profile),
Create New Profile,إنشاء ملف تعريف جديد,Crie um novo perfil,WELSH,创立新户口,創立新戶口,Buat Akaun Baharu,新しいプロファイルを作成する,අලුත් සහභාගිවන්නන්ගේ විස්තරයක් හදන්න,
Level Picker,اختر المستوى,Nivel,WELSH,选择等级,選擇等級,Pemilih Tahap,レベルを選択してください,මට්ටම තෝරන්න,
Player Picker,اختر لاعب,Jogador,WELSH,选择玩家,選擇玩家,Pemilih Pemain,プレイヤーを選択してください,ක්‍රීඩකයා තෝරන්න,
Please select a level,الرجاء تحديد مستوى,Selecione o nivel,WELSH,请选择一个等级,請選擇等級：,Sila pilih tahap,レベルを選択してください,කරුණාකර Level එක තෝරන්න,
Please select a character,الرجاء تحديد لاعب,Selecione o jogador,WELSH,请选择一个角色,請選擇角色：,Sila pilih hanya satu watak,キャラクターを選択してください,කරුණාකර ක්‍රීඩකයා තෝරන්න,
Pick a character,اختر شخصية,Selecione o jogador,WELSH,选一名角色,選一名角色：,Pilih satu watak,キャラクターを選ぶ,චරිතයක් තෝරන්න,
Please select 2 different profiles,الرجاء تحديد ملفين مختلفين,Selecione dois perfis,WELSH,请选择两个不同的户口,請分別選擇兩個戶口,Sila pilih 2 profil yang berbeza,2つの異なるプロファイルを選択してください,කරුණාකර වෙනස් සහභාගිවන්නන් දෙදෙනෙක් තෝරන්න,
Please select at least 2 players!,الرجاء تحديد لاعبين على الأقل,Selecione dois jogadores,WELSH,请选择至少两名玩家！,請選擇至少兩名玩家！,Sila pilih sekurang-kurangnya 2 pemain,少なくとも2人のプレーヤーを選択してください,කරුණාකර අඩුම ගණනේ ක්‍රීඩකයින් දෙදෙනෙක් තෝරන්න,
Next,التالى,Próximo,WELSH,继续,繼續,Teruskan,すぎ,ඊළඟ,
Level,مستوى,Nivel,WELSH,等级,等級,Tahap,レベル,මට්ටම,
Level Editor,منشئ المستوى,Nivel Creador,Welsh,等级编辑器,等級編輯器,editor tahap,レベルエディタ,Level හදන්න,
Rotate,استدارة,Roda,Welsh,旋转,旋轉,Putarkan,回転,කරකවන්න,
Height,ارتفاع,Altura,Welsh,高度,高度,Kettingian,高さ,උස,
Width,العرض,Largura,Welsh,宽度,寬度,Kelebaran,幅,පළල,
New Level,مستوى جديد,Novo Nivel,Welsh,新等级,新等級,tahap baharu,新しいレベル,අලුත් Level,
Edit Level,تحرير المستوى,Edite o Nivel,Welsh,编辑等级,編輯等級,tahap tukaran,レベルの編集,හදපු Level එක වෙනස් කරන්න,
Play Level,لعب المستوى,Jogue o Nivel,Welsh,玩该等级,玩該等級,tahap mainan,プレイレベル,සෙල්ලම් කරන්න Level එක,
Create,أبدع,Crie,Welsh,创建,創建,Cipta,作る,හදන්න,
select level to edit,حدد المستوى للتعديل,selecione o nivel para editar,Welsh,选择需编辑的等级,選擇需編輯嘅等級,Pilih tahap yang anda ingin edit,編集するレベルを選択,වෙනස් කරන්න Level එකක් තෝරන්න ,
